ft_name,n_seq_real,n_seq_shuf,odds_ratio,p_value,fdr
BPC1,15949,8707,4.75465798226391,0,0
BPC5,3738,24,190.251795066155,0,0
BPC6,14462,8398,3.45482013979688,0,0
EWSR1-FLI1,11399,3565,5.95316469981898,0,0
Nr2F6,13414,9311,2.27621752657107,0,0
Rarg,13284,10870,1.63152359731693,2.30207171335982e-130,7.25536268327238e-128
NFKB1,13250,11521,1.42476241619215,1.18063123547476e-68,3.18939095183252e-66
RLM1,19450,18552,1.95535588461659,1.24571291302027e-66,2.94455389815166e-64
ESR1,12589,11217,1.31722710307235,3.23155172815782e-43,6.7898492421627e-41
Rarb,13109,12243,1.19638527121188,6.86596898126056e-19,1.29835473435637e-16
blmp-1,20456,20346,4.46109656833172,4.19223059865631e-18,7.2068255109628e-16
SPT15,20229,20034,1.76992106179295,8.26549264661201e-14,1.30250388289528e-11
REST,18918,18520,1.28042886255104,1.38190706099654e-12,2.01014327103419e-10
MEF2D,16873,16327,1.18952186324814,3.24573471296901e-12,4.38406024444599e-10
FKH1,20258,20088,1.75381273281793,4.37370630658275e-12,5.51378575049865e-10
pha-4,20232,20056,1.70227516283863,6.69949199482572e-12,7.91796210138465e-10
STAT1::STAT2,20415,20309,2.46492321428736,8.22664014044211e-12,9.1509273562212e-10
Stat5a::Stat5b,20407,20298,2.35835074216282,1.26030720663449e-11,1.32402273763656e-09
STAT1,20357,20227,2.00512652942617,1.96897263941914e-11,1.95964592691663e-09
Lhx3,20345,20219,1.8928007968787,2.23198469844814e-10,2.11034153238272e-08
STB3,20375,20261,2.02010715113994,2.63451001096413e-10,2.37231353844437e-08
skn-1,20387,20281,2.06017012459149,6.63161926060543e-10,5.70017819172949e-08
STAT3,20449,20377,2.85628934297952,1.58821935895447e-09,1.305792525123e-07
DUX4,19577,19331,1.28618282996951,1.55758190316275e-08,1.22724474120032e-06
Stat6,20281,20153,1.62860668159536,1.73383136851632e-08,1.31147004714575e-06
ELK4,20349,20242,1.77910318805573,2.35974499147005e-08,1.67962736672525e-06
MEF2C,20409,20324,2.08458409540714,2.39819877850777e-08,1.67962736672525e-06
JUN,19600,19366,1.27876892136259,4.77931822214595e-08,3.22774669931357e-06
PLAG1,20270,20147,1.573742961419,9.16385502852637e-08,5.97546546860116e-06
Stat4,20412,20341,1.9409196934728,1.07718322426179e-06,6.7898449235968e-05
eor-1,20479,20452,4.00488108556273,3.25866056782084e-05,0.00198778294637071
IXR1,17163,16883,1.10218867141689,0.000117913440433426,0.00696794737061277
TCF7L2,20443,20401,1.93727170273115,0.000158060205068892,0.0090573287207659
HES7,13000,12652,1.0752527477266,0.000197866290924035,0.0110048575334514
RREB1,20352,20287,1.48265454252168,0.000223685112545953,0.012085387080697
Zfx,20316,20247,1.4059198985753,0.000375873870863605,0.0197438191611966
FOXH1,19703,19575,1.17065664670986,0.000818599797076748,0.0418370869262738
Pou5f1::Sox2,20449,20417,1.82332877030761,0.00145295025594227,0.0723033929996533
SFP1,20416,20376,1.55858356651263,0.00191890483095051,0.0930422829571134
PHO2,20462,20437,1.96389526635672,0.00291246392417609,0.137686732015424
Pparg::Rxra,20487,20477,11.0019714091827,0.00317028998489435,0.146219960035005
Gfi1B,20416,20379,1.51661392594949,0.00357825543327397,0.161106691055264
Foxq1,20468,20447,2.05205961385296,0.0048996971249326,0.215472727052269
ROX1,20487,20478,10.0029345433479,0.00585413286313557,0.251594664640667
Mecom,20380,20339,1.38239420433216,0.0060837696298384,0.255653519333876
AT4G12670,2211,2059,1.08273185605035,0.00730905744566054,0.300465818037915
daf-12,20329,20282,1.29858775728935,0.00773489124692756,0.311205943573192
RORA,20484,20474,3.50128686977852,0.0154239505723923,0.607639386091537
EDS1,20482,20471,2.83494885065567,0.0173198745207862,0.651166267922454
CUP2,20485,20476,4.00136266310303,0.0175618612713089,0.651166267922454
CUP9,20485,20476,4.00136266310303,0.0175618612713089,0.651166267922454
Runx1,20486,20478,5.00159893229764,0.0192733472543378,0.696492940441712
SPT23,20487,20480,8.00236643922329,0.0195209549674303,0.696492940441712
ttk,20483,20473,3.00157281106531,0.0206703792591041,0.723846058869738
D,20484,20475,3.25163961395724,0.0244978328977859,0.842280036540239
FKH2,20413,20387,1.34836947217006,0.0293260085631978,0.980419386808448
lab,20474,20461,1.92975541292061,0.0297285957067508,0.980419386808448
INO4,20460,20443,1.60845137695079,0.0300710335456848,0.980419386808448
Sox6,20441,20420,1.44827647227253,0.0306721685844892,0.983068996496088
Spz1,20487,20481,7.00170382009724,0.0351429039359132,1
hb,20487,20481,7.00170382009724,0.0351429039359132,1
SUM1,20464,20449,1.62616322311212,0.0383497632846875,1
Kr,20358,20328,1.23257699831651,0.0436395588417222,1
MOT3,20429,20408,1.35731238107809,0.0444547243274161,1
Tfcp2l1,20467,20454,1.62004817333972,0.0522784154545307,1
MET28,20480,20471,2.12588591984047,0.0538225772448298,1
SRY,20486,20480,4.00077705692601,0.0546660501832278,1
THI2,10349,10186,1.03235110627324,0.0547327959435588,1
ESR2,20466,20453,1.59189314342728,0.0554564534633794,1
Dbx,20487,20482,6.00112491122609,0.0624839841367304,1
Hand1::Tcf3,20487,20482,6.00112491122609,0.0624839841367304,1
REL,20487,20482,6.00112491122609,0.0624839841367304,1
myb.Ph3,20487,20482,6.00112491122609,0.0624839841367304,1
REI1,20471,20460,1.6479145950191,0.0674710879924393,1
nub,20437,20420,1.33442951033725,0.0707763636544772,1
SFL1,20483,20476,2.40091015597885,0.0716900862691105,1
tll,20461,20449,1.44527234632345,0.0874689467236517,1
AZF1,20484,20478,2.50081980078962,0.0897454356097853,1
dl,20486,20481,3.50043316472691,0.0898197253255807,1
PAX6,20481,20474,2.0006398944408,0.0945667244088882,1
Vsx2,20469,20459,1.52703789144791,0.0965756850447271,1
squamosa,20472,20463,1.56316149706506,0.105397364045951,1
SWI5,20476,20468,1.66728748723722,0.107573740874333,1
GAT3,20487,20483,5.00062267353377,0.109357839727683,1
Gam1,20487,20483,5.00062267353377,0.109357839727683,1
SOK2,20487,20483,5.00062267353377,0.109357839727683,1
sd,20487,20483,5.00062267353377,0.109357839727683,1
MCM1,20479,20472,1.77835027637933,0.114690132992422,1
Ptx1,20479,20472,1.77835027637933,0.114690132992422,1
GCR2,20482,20476,2.00054216271346,0.118890404919715,1
ceh-22,20473,20465,1.53390846430307,0.127826922607724,1
B-H1,20484,20479,2.25064575692886,0.133384505803458,1
GAT4,20484,20479,2.25064575692886,0.133384505803458,1
IRF9,7672,7564,1.02283161639565,0.137037312777585,1
ZMS1,20471,20463,1.47114209478941,0.139854415158871,1
GIS1,20480,20474,1.75047863562162,0.143074226153649,1
ACE2,20486,20482,3.00069488650299,0.144507224739198,1
Abd-B,20486,20482,3.00069488650299,0.144507224739198,1
FOXD1,20486,20482,3.00069488650299,0.144507224739198,1
PEND,20486,20482,3.00069488650299,0.144507224739198,1
SOX9,20486,20482,3.00069488650299,0.144507224739198,1
z,20486,20482,3.00069488650299,0.144507224739198,1
MET4,20418,20404,1.20081633527194,0.146951815875515,1
MGA1,20474,20467,1.50049044874092,0.155148475895016,1
FOSL2,19853,19816,1.06026808382895,0.155755684068425,1
fkh,20478,20472,1.60044143598372,0.163392501155549,1
elt-3,20138,20111,1.07855709670658,0.165288964875381,1
YAP6,20482,20477,1.83374338962874,0.166102248773874,1
RME1,20485,20481,2.33388172598335,0.171844967324374,1
pb,20456,20447,1.28180291765708,0.17437551648946,1
ARR1,20487,20484,4.00019167829917,0.187484746238451,1
Eip74EF,20487,20484,4.00019167829917,0.187484746238451,1
HSF1,20487,20484,4.00019167829917,0.187484746238451,1
Lim3,20487,20484,4.00019167829917,0.187484746238451,1
TGA1A,20487,20484,4.00019167829917,0.187484746238451,1
bcd,20487,20484,4.00019167829917,0.187484746238451,1
bsh,20487,20484,4.00019167829917,0.187484746238451,1
PHDP,20480,20475,1.62536816223752,0.191593573442193,1
TEC1,20480,20475,1.62536816223752,0.191593573442193,1
B-H2,20484,20480,2.00034675652344,0.193812259300634,1
LYS14,20474,20468,1.42897135653746,0.195665239501785,1
Stat92E,20433,20423,1.18239067092331,0.205367959578969,1
YGR067C,20472,20466,1.37538711688005,0.20873743763948,1
kni,20478,20473,1.50034378301649,0.212106763610709,1
Znf423,20088,20065,1.05873487984137,0.219270058050734,1
CG32105,20477,20472,1.45488050476513,0.220958278658827,1
MET32,20486,20483,2.50045400510969,0.226542478704987,1
lbl,20486,20483,2.50045400510969,0.226542478704987,1
ovo,20486,20483,2.50045400510969,0.226542478704987,1
prd,20486,20483,2.50045400510969,0.226542478704987,1
STE12,20482,20478,1.66696165840439,0.22720440442054,1
YAP5,20482,20478,1.66696165840439,0.22720440442054,1
YER130C,20476,20471,1.416994480035,0.229048918450582,1
lin-14,20476,20471,1.416994480035,0.229048918450582,1
odd,20468,20462,1.30036919445521,0.230569080464069,1
Ddit3::Cebpa,20481,20477,1.57170943204997,0.240292289116099,1
Antp,20474,20469,1.35745934116397,0.243336677676226,1
ECM23,20485,20482,2.00024908204785,0.253882223566244,1
Macho-1,20485,20482,2.00024908204785,0.253882223566244,1
CG11617,20472,20467,1.3128079864354,0.255591810920823,1
MIG1,20472,20467,1.3128079864354,0.255591810920823,1
Awh,20478,20474,1.40025620818857,0.270568161338603,1
EmBP-1,20484,20481,1.75022215703592,0.274386531203359,1
YOX1,20377,20367,1.09060229790592,0.276784376274019,1
CG4328-RA,20483,20480,1.60020690845323,0.290496664896176,1
RPN4,20449,20443,1.15417985435794,0.292630338520583,1
ASH1,20474,20470,1.28595428437242,0.298235083577484,1
ADR1,20482,20479,1.50019720322033,0.303585828540559,1
PHD1,20482,20479,1.50019720322033,0.303585828540559,1
ARG81,20473,20469,1.26690393806828,0.303720499363874,1
PBX1,20473,20469,1.26690393806828,0.303720499363874,1
YAP7,20328,20318,1.06304830170847,0.309472101112587,1
NDT80,20458,20453,1.16694638039366,0.309932897302211,1
SPT2,20458,20453,1.16694638039366,0.309932897302211,1
ARR10,20487,20485,3.0004024147708,0.312490847742878,1
HHEX,20487,20485,3.0004024147708,0.312490847742878,1
Six4,20487,20485,3.0004024147708,0.312490847742878,1
br,20487,20485,3.0004024147708,0.312490847742878,1
che-1,20487,20485,3.0004024147708,0.312490847742878,1
ems,20487,20485,3.0004024147708,0.312490847742878,1
eve,20487,20485,3.0004024147708,0.312490847742878,1
hth,20487,20485,3.0004024147708,0.312490847742878,1
oc,20487,20485,3.0004024147708,0.312490847742878,1
Pph13,20480,20477,1.37518547892099,0.323764235660421,1
TOS8,20480,20477,1.37518547892099,0.323764235660421,1
abd-A,20480,20477,1.37518547892099,0.323764235660421,1
inv,20452,20447,1.13916304888404,0.324240879814063,1
HMRA1,20428,20422,1.10030851902665,0.327840679560708,1
CG9876,20479,20476,1.3335149416561,0.331770844863626,1
MIG3,20478,20475,1.30017849649228,0.338776456488223,1
ftz,20478,20475,1.30017849649228,0.338776456488223,1
cad,20137,20125,1.03481278027044,0.338975794429482,1
Dfd,20476,20473,1.25017376181904,0.35050658415157,1
IRF2,20402,20396,1.07011290448935,0.353669846358932,1
NHP10,20389,20383,1.06094189786507,0.362861982214316,1
vnd,20485,20483,1.66679886327638,0.363267901981296,1
NK7.1,20483,20481,1.40011941941201,0.387190511867135,1
YPR196W,20483,20481,1.40011941941201,0.387190511867135,1
YRM1,20483,20481,1.40011941941201,0.387190511867135,1
RELA,20463,20460,1.12016062221266,0.391854509923585,1
RGT1,20482,20480,1.33344980668096,0.395245775221671,1
AFT2,20461,20458,1.11126960482171,0.395611859155751,1
INSM1,20461,20458,1.11126960482171,0.395611859155751,1
abi4,20461,20458,1.11126960482171,0.395611859155751,1
Bgb::run,20470,20468,1.11121511590582,0.435677507685299,1
OdsH,20469,20467,1.10536094891206,0.437284038018907,1
YPR022C,20467,20465,1.09532573665227,0.440165777430902,1
MAX::MYC,20459,20457,1.06909978673119,0.44867332208565,1
TAL1::TCF3,20452,20450,1.05567854604431,0.45373851782061,1
CTCF,20450,20448,1.05275234443038,0.454930309749117,1
hlh-1,20395,20393,1.02160850855007,0.470875921853719,1
NFIC::TLX1,20339,20337,1.01352354798463,0.476901532405535,1
Deaf1,20487,20486,2.00005379029742,0.499999999999686,1
Dof2,20487,20486,2.00005379029742,0.499999999999686,1
Dof3,20487,20486,2.00005379029742,0.499999999999686,1
ara,20487,20486,2.00005379029742,0.499999999999686,1
mirr,20487,20486,2.00005379029742,0.499999999999686,1
slbo,20487,20486,2.00005379029742,0.499999999999686,1
vis,20487,20486,2.00005379029742,0.499999999999686,1
vvl,20487,20486,2.00005379029742,0.499999999999686,1
ABF2,20483,20482,1.20005161611292,0.499999999999929,1
CG15696-RA,20483,20482,1.20005161611292,0.499999999999929,1
onecut,20483,20482,1.20005161611292,0.499999999999929,1
C15,20486,20485,1.50005070927812,0.499999999999952,1
schlank,20486,20485,1.50005070927812,0.499999999999952,1
tup,20486,20485,1.50005070927812,0.499999999999952,1
Arnt,20479,20478,1.11116068031171,0.499999999999966,1
Nr2e3,20469,20468,1.052700748339,0.499999999999977,1
Scr,20469,20468,1.052700748339,0.499999999999977,1
RIM101,20468,20467,1.0500673672379,0.499999999999999,1
MET31,20457,20456,1.03231527107482,0.500000000000011,1
FOXF2,20449,20448,1.02569540218362,0.500000000000012,1
GCR1,20466,20465,1.04551897264863,0.500000000000014,1
zen,20462,20461,1.03852188754811,0.500000000000015,1
btn,20481,20480,1.14290846273157,0.500000000000066,1
CG11085,20484,20483,1.25005163142288,0.500000000000068,1
H2.0,20484,20483,1.25005163142288,0.500000000000068,1
HCM1,20485,20484,1.33338469713982,0.500000000000126,1
SRD1,20485,20484,1.33338469713982,0.500000000000126,1
lms,20485,20484,1.33338469713982,0.500000000000126,1
MAF::NFE2,19997,19998,0.99791345263334,0.525765002540902,1
usp,20443,20443,1,0.54198169072845,1
tin,20323,20324,0.993890346822374,0.544065555500484,1
PDR8,20453,20453,1,0.547553371754392,1
exex,20470,20470,1,0.566059324449169,1
bap,20472,20472,1,0.57000230602415,1
HMRA2,20474,20474,1,0.574748533285213,1
opa,20432,20433,0.982092819262363,0.575326079417505,1
TBP,20475,20475,1,0.577515104513998,1
Su(H),20476,20476,1,0.580613740153092,1
Vsx1,20478,20478,1,0.588120033642853,1
unpg,20479,20479,1,0.592755665441897,1
CG11294,20453,20454,0.971375802793345,0.595104418615298,1
Arid3a,20481,20481,1,0.604754224778335,1
HGTX,20481,20481,1,0.604754224778335,1
YRR1,20481,20481,1,0.604754224778335,1
MEF2B,16842,16863,0.99300178031508,0.611975798650567,1
INO2,20463,20464,0.959942726297336,0.612340990232889,1
E5,20482,20482,1,0.612809488132872,1
HAP2,20482,20482,1,0.612809488132872,1
Nobox,20482,20482,1,0.612809488132872,1
otp,20482,20482,1,0.612809488132872,1
RARA::RXRA,20467,20468,0.952319852230655,0.622445449582109,1
exd,20483,20483,1,0.623061892070887,1
slou,20484,20484,1,0.636732098018752,1
CG18599,20472,20473,0.93742973946079,0.640001192798298,1
en,20474,20475,0.928555755033627,0.64949341584843,1
so,20485,20485,1,0.656261440739913,1
RGM1,20465,20467,0.912970421983156,0.674294099147435,1
MIG2,20467,20469,0.904681860693773,0.682169101090756,1
IRF3,15314,15356,0.989168556121706,0.687786850908597,1
TRP1,5245,5289,0.988817153898259,0.694510874165065,1
Ubx,20470,20472,0.888805040715283,0.696279500636127,1
ap,20480,20481,0.874960709984598,0.696414171459441,1
RFX1,20472,20474,0.874917960487558,0.707737088024201,1
Dr,20461,20464,0.888761572118599,0.712194862218253,1
slp1,20475,20477,0.846075602137821,0.729431838661397,1
TDA9,20466,20469,0.863513597469675,0.733748618302749,1
CG34031,20476,20478,0.833256789088887,0.738322924918817,1
brk,20476,20478,0.833256789088887,0.738322924918817,1
hkb,20426,20432,0.902967040697145,0.740556512062818,1
Dll,20483,20484,0.799966957253378,0.746117776433756,1
ft_name,1,1,1,0.750006101281269,1
MNB1A,20487,20487,1,0.750006101281269,1
Optix,20487,20487,1,0.750006101281269,1
PBF,20487,20487,1,0.750006101281269,1
ZNF354C,20487,20487,1,0.750006101281269,1
caup,20487,20487,1,0.750006101281269,1
ct,20487,20487,1,0.750006101281269,1
lbe,20487,20487,1,0.750006101281269,1
Nr1h3::Rxra,20469,20472,0.841986401988883,0.750312409022547,1
ARG80,20459,20463,0.861904318561846,0.75183391689576,1
repo,20461,20465,0.851689563212931,0.760190930349102,1
Lim1,20411,20419,0.895755589062727,0.772161517007183,1
Ahr::Arnt,20484,20485,0.749971108971132,0.773457521295013,1
Gsc,20484,20485,0.749971108971132,0.773457521295013,1
AFT1,20456,20461,0.843548305915212,0.782669718967078,1
hbn,20467,20471,0.80937131570754,0.79126256236052,1
btd,20448,20454,0.849754938924839,0.792218747490402,1
STB4,20468,20472,0.799849710310534,0.797587739451278,1
RPH1,20460,20465,0.82123314969233,0.799616272028002,1
bZIP910,20431,20439,0.859316605428433,0.809245959092337,1
achi,20485,20486,0.666644129972205,0.812515253761549,1
RDR1,20455,20461,0.817947280425461,0.817029175384781,1
zen2,20477,20480,0.727174635951171,0.820414581097937,1
h,20447,20454,0.828989490910026,0.822371283678387,1
PHO4,20401,20412,0.873095958296171,0.826834453325346,1
ind,20478,20481,0.699906684120626,0.833897751226126,1
TRP2,10228,10327,0.980851679826757,0.838429565086779,1
CRZ1,20479,20482,0.666579032312352,0.849165832106883,1
cnc::maf-S,20297,20316,0.899684034966525,0.854157942670856,1
Cf2,20456,20463,0.780989435964442,0.85554638137826,1
Nfe2l2,20358,20374,0.876237820200603,0.862503665000146,1
su(Hw),20343,20360,0.882024760844291,0.862829336229427,1
YHP1,20452,20460,0.777480471328417,0.869968879796898,1
ARNT::HIF1A,20466,20472,0.727068028867751,0.872173077392276,1
TBS1,20466,20472,0.727068028867751,0.872173077392276,1
DAL80,20467,20473,0.714085214194877,0.878611370286192,1
MSN2,20364,20381,0.862187338840242,0.882551273490781,1
ro,20473,20478,0.666513909225291,0.885309867007578,1
Hmx,20474,20479,0.642710654131786,0.89504439471387,1
unc-4,20470,20476,0.666481338141965,0.899838375253416,1
Rx,20440,20451,0.770425782787004,0.903850841100906,1
GLN3,20471,20477,0.64687962602386,0.907608508225977,1
MOT2,20467,20474,0.666448760696201,0.912359674075924,1
YPR013C,20467,20474,0.666448760696201,0.912359674075924,1
MBP1,20472,20478,0.624827611629956,0.915748847109523,1
PKNOX2,14742,14869,0.969535563227135,0.921087495935029,1
DOT6,20434,20447,0.758783985877725,0.924977608077426,1
RXRA::VDR,20427,20441,0.769971174953415,0.925979481381165,1
GZF3,20474,20480,0.571272324980762,0.933151848016695,1
HAC1,20456,20466,0.687173637981295,0.933290856283577,1
BAS1,20391,20410,0.803381061813543,0.935243233316281,1
NR2C2,20481,20485,0.428470727058692,0.945333949816772,1
TYE7,20444,20457,0.704106860772183,0.947487992987854,1
GAT1,20457,20468,0.644825011461313,0.95414356713216,1
FHL1,20453,20465,0.656767763168133,0.956636935156546,1
EcR::usp,20396,20417,0.770952415161569,0.95803735635508,1
MSN4,20445,20459,0.673966983811012,0.961944263504741,1
CG32532,20471,20479,0.529216097513104,0.962286668685214,1
YKL222C,20468,20477,0.549769460290927,0.964675147447545,1
TOD6,20404,20425,0.749236675268679,0.965632866843118,1
UPC2,20475,20482,0.461391314062231,0.968246251434419,1
USV1,20279,20315,0.826289483297153,0.971482301039037,1
al,20405,20427,0.734156497567711,0.972761693375105,1
ECM22,20456,20469,0.593383975281019,0.975632885786836,1
pan,20376,20403,0.757931769488946,0.977371451547564,1
SUT1,20464,20476,0.499717949294039,0.985626298951959,1
dpy-27,20331,20367,0.769345519905203,0.987103014052098,1
ERT1,20434,20454,0.629024689310843,0.987765116897463,1
RTG3,20412,20438,0.657068066098952,0.992170827240266,1
CST6,20445,20465,0.534372177643748,0.995422551877737,1
OAF1,20442,20463,0.542931731667737,0.995751005565514,1
TGIF1,8667,8935,0.948040641311953,0.996368890053674,1
CEP3,20436,20459,0.557076576825186,0.996390743367817,1
GLI3,12648,12921,0.944810990293168,0.997401148342123,1
PPARG,20226,20291,0.749507620379133,0.999041438757823,1
STB5,20457,20476,0.38672500797189,0.999048117838116,1
bZIP911,19824,19930,0.83589678313114,0.999062385762112,1
YNR063W,20440,20465,0.478592121544762,0.999097964136477,1
YLR278C,20442,20469,0.412484071318721,0.999791095088337,1
CHA4,20405,20444,0.52912040314472,0.999830119406995,1
GATA1::TAL1,20080,20179,0.753645119727768,0.999919447110898,1
OPI1,20389,20435,0.534159672498628,0.999940591943142,1
SKN7,20381,20430,0.540767254667158,0.999957366532374,1
URC2,20441,20471,0.361160957486179,0.999961813213904,1
UGA3,20358,20416,0.552284030648714,0.999986060160788,1
LEU3,20270,20350,0.630549812521351,0.999992529136666,1
ceh-10::ttx-3,20273,20354,0.620786509418914,0.999995236415409,1
ZSCAN4,14750,15167,0.901833773700928,0.999998358243549,1
ARO80,20415,20461,0.369020662152987,0.999999189468345,1
YAP3,20383,20442,0.436814174153493,0.999999642080288,1
YER184C,20412,20462,0.341258848284795,0.999999881382987,1
STP1,20327,20411,0.476303491741671,0.999999988319773,1
STP3,20415,20467,0.286976197977654,0.999999991090876,1
Mad,20048,20198,0.654206840373747,0.999999992371542,1
RDS2,20407,20464,0.295448566239393,0.999999997145323,1
TEA1,20408,20465,0.286735131312824,0.999999998050861,1
DAL82,20423,20473,0.230226166918279,0.999999998482235,1
gt,20236,20351,0.540590122993589,0.999999998684475,1
MAC1,19994,20167,0.644234263385874,0.99999999967782,1
DAL81,25,88,0.283251237788242,0.999999999730053,1
HAP5,20285,20392,0.470435828852725,0.999999999883603,1
PUT3,20326,20420,0.417807575774671,0.999999999908026,1
STP4,20386,20457,0.302847041381615,0.999999999931975,1
mab-3,19847,20056,0.666934448955241,0.999999999964022,1
snpc-4,19992,20174,0.627364490117282,0.999999999965176,1
SIP4,20395,20463,0.267954453972763,0.999999999973808,1
STP2,20301,20411,0.409533757658081,0.999999999998284,1
MBP1::SWI6,20394,20469,0.201401933215485,0.999999999999963,1
XBP1,20372,20459,0.248962528498982,0.999999999999982,1
JUND,20365,20456,0.259033690290708,0.99999999999999,1
